Timestamp,long,lat,temp,pres,humid,roll,pitch,yaw,airspeed,aoa,sideslip,alt,temp2,rpm,power,elevator,rudder
2025-08-08T11:28:11.938586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
2025-08-08T11:28:12.038586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
2025-08-08T11:28:12.138586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
2025-08-08T11:28:12.238586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
2025-08-08T11:28:12.338586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
2025-08-08T11:28:12.438586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
2025-08-08T11:28:12.538586,130.000000,30.000000,0,970,0,0,0,180.0,0.0,360,0,0,0,0,0,0.0,0.0,
